STOP_ID,STOP_NAME,MODE,LONGITUDE,LATITUDE
17381,Walton St/Thompson Ave,REGIONAL BUS,145.239068,-38.459048
17382,Walton St/Thompson Ave,REGIONAL BUS,145.238822,-38.458764
17384,Peppermint Rd/Bass Hwy,REGIONAL BUS,145.475922,-38.549455
17385,Peppermint Rd/Bass Hwy,REGIONAL BUS,145.475770,-38.549570
17386,Ozone Hotel/Bass Hwy,REGIONAL BUS,145.546567,-38.563465
17387,Ozone Hotel/Bass Hwy,REGIONAL BUS,145.546708,-38.563323
17419,Albury Station/Hume Hwy ,REGIONAL BUS,146.924327,-36.084243
17581,Hogan St/Fraser St,REGIONAL BUS,145.225309,-36.440476
17681,Moorabool St/Malop St ,REGIONAL BUS,144.360369,-38.147229
17717,Skenes Creek Valley Rd/Great Ocean Rd,REGIONAL BUS,143.710125,-38.724998
17718,Pisces Holiday Park/Great Ocean Rd,REGIONAL BUS,143.675390,-38.741716
17719,Pisces Holiday Park/Great Ocean Rd,REGIONAL BUS,143.675334,-38.741678
17720,Visitor Information Centre/Great Ocean Rd,REGIONAL BUS,143.669065,-38.754544
17726,Surf Club/Tregea St,REGIONAL BUS,142.993777,-38.619204
17729,Peterborough General Store/Macs St ,REGIONAL BUS,142.877568,-38.607000
17730,Peterborough General Store/Macs St ,REGIONAL BUS,142.876878,-38.607021
17737,Spring St/Commercial Rd,REGIONAL BUS,142.362509,-38.291658
17738,Spring St/Commercial Rd,REGIONAL BUS,142.362035,-38.291387
17753,Hamilton Station/Station St,REGIONAL BUS,142.028270,-37.746600
17759,Willaura Kindergarten/Willaura-Wickliffe Rd ,REGIONAL BUS,142.742366,-37.544690
17760,CFA Station/Glenelg Hwy,REGIONAL BUS,142.722937,-37.690396
17761,CFA Station/Glenelg Hwy,REGIONAL BUS,142.723033,-37.690904
17763,Information Centre/Glenelg Hwy,REGIONAL BUS,142.840481,-37.712398
17773,Loader St/Glenelg Hwy,REGIONAL BUS,143.684337,-37.644978
17774,Loader St/Glenelg Hwy,REGIONAL BUS,143.684504,-37.645028
17776,Jetty Rd/Princes Hwy,REGIONAL BUS,148.007733,-37.874462
17799,Ararat Railway Station/High St ,REGIONAL BUS,142.936912,-37.282439
17801,Cuibitt St/Western Hwy,REGIONAL BUS,142.853451,-37.151495
17802,Cubitt St/Western Hwy,REGIONAL BUS,142.854822,-37.151939
17803,Stawell Station/Napier St ,REGIONAL BUS,142.773548,-37.059259
17809,McDonald St/Marma St,REGIONAL BUS,142.470229,-36.620116
17810,Walter St/Cromie St,REGIONAL BUS,142.631409,-36.631407
17812,Main St/Church St,REGIONAL BUS,142.587377,-36.460291
